ID, Accommodates, Bathrooms, Bedrooms, Beds, limpieza, extra, finde
33116, 10, 2, 4, 8, €20, €25 / night after the first guest, €35 / night
37506, 11, 1, 1, 8, €10, €9 / night after 3 guests, €35 / night
65305, 4, 1, 1, 3, , €5 / night after 2 guests, 
65961, 3, 1, 1, 1, , €15 / night after 2 guests, 
66184, 3, 1, 1, 1, , €15 / night after 2 guests, 
97718, 6, 1, 2, 6, , , €150 / night
109470, 2, 1.5, 1, 1, , €5 / night after the first guest, 
113096, 3, 1, 1, 1, , €20 / night after 2 guests, 
129565, No longer available,,,,,, 
137757, 6, 2, 3, 4, , , 
138886, 4, 1, 2, 3, , €20 / night after 2 guests, 
138899, 2, 1, 1, 1, , , 
140473, 4, 1, 1, 3, , €20 / night after 2 guests, 
142573, 4, 1, 1, 2, , €5 / night after 2 guests, €68 / night
154921, 4, 2, 1, 1, €20, €15 / night after 2 guests, 
150730, 4, 1, 1, 4, , €8 / night after 2 guests, 
154419, No longer available,,,,,, 
155927, No longer available,,,,,, 
155885, 5, 1, 1, 3, , €25 / night after 2 guests, 
163943, 2, , 1, 2, €10, €25 / night after the first guest, €35 / night
163351, 4, 1, 1, 3, , No Charge, €68 / night
169302, 1, 2, 1, 1, , , €23 / night
172350, 4, 1, 1, 2, , €6 / night after 2 guests, 
172330, 6, 2, 2, 2, , €15 / night after 2 guests, 
173719, No longer available,,,,,, 
177218, 4, 2, 1, 2, €24, €8 / night after 2 guests, 
186285, 4, 1, 1, 3, €10, €18 / night after the first guest, €22 / night
187288, 2, 1, 1, 1, , , €100 / night
213305, No longer available,,,,,, 
219578, 2, , 1, 1, , , €89 / night
270398, 2, 1, 1, 1, , No Charge, 
281909, No longer available,,,,,, 
294424, 6, 2, 2, 3, €15, €10 / night after 4 guests, €80 / night
303459, 2, 1, 1, 2, , No Charge, 
304090, 2, 1, 1, 2, , No Charge, 
310070, 7, 1, 2, 4, , €15 / night after 4 guests, 
329291, 3, , 2, 2, , €10 / night after 2 guests, 
337117, 4, 1, 1, 2, , €20 / night after 2 guests, €60 / night
337328, 4, 1, 2, 2, , €25 / night after 2 guests, 
338378, 2, 1, 1, 1, €12, No Charge, €129 / night
359439, 8, 2, 3, 6, , €15 / night after 3 guests, €110 / night
369519, 1, 1, 1, 1, , , €25 / night
369518, 2, 1, 1, 1, , No Charge, €28 / night
366734, 6, 2, 4, 5, , €10 / night after 3 guests, 
372389, 8, 2, 3, 6, , €20 / night after 5 guests, €110 / night
376982, 2, 1, 1, 1, , No Charge, 
384489, 2, 1, 1, 1, , No Charge, 
394075, 5, 2, 1, 4, €25, €15 / night after the first guest, 
407397, 5, 1, 2, 4, €20, €30 / night after 2 guests, €75 / night
414287, 4, 1, 1, 4, , , 
428528, 2, 1, 1, 1, €20, , €50 / night
436180, 2, 1, 1, 1, , , 
440515, 5, 1, 1, 3, , €20 / night after 3 guests, 
454119, No longer available,,,,,, 
459552, 4, 1, 2, 3, , €16 / night after the first guest, 
464844, No longer available,,,,,, 
463902, 2, 1, 1, 2, €10, €12 / night after the first guest, 
465608, 2, 1, 1, 2, €10, €10 / night after the first guest, 
471119, 4, , 1, 1, €40, , 
471769, 5, 2, 2, 2, , €20 / night after 4 guests, 
482270, 3, 1, 1, 2, €10, €15 / night after the first guest, €33 / night
489474, 4, 1, 2, 4, €12, €10 / night after 3 guests, €70 / night
486399, 5, 1, 3, 3, , €10 / night after 3 guests, €68 / night
499019, 3, 1, 1, 1, €22, €10 / night after 2 guests, €60 / night
499137, 2, 1, 1, 1, €25, No Charge, €60 / night
504827, No longer available,,,,,, 
516918, 5, 1.5, 2, 4, €10, €15 / night after 2 guests, 
520329, 2, 1, 1, 1, , No Charge, €70 / night
520258, 2, 1, 1, 1, , No Charge, €100 / night
520347, 4, 1, 1, 3, , , €100 / night
554914, 4, 1, 1, 1, , €15 / night after the first guest, €60 / night
553685, 4, 2, 2, 3, €15, No Charge, 
561280, 2, 1, 1, 1, €30, , 
560220, 8, 2, 4, 5, €7, €17 / night after 2 guests, €65 / night
560208, 4, 1.5, 2, 2, , €15 / night after 2 guests, 
569562, 8, 1, 3, 5, , €17 / night after 4 guests, 
565006, 4, 1, 2, 3, , €12 / night after 2 guests, 
565372, 4, 1, 2, 4, , No Charge, €130 / night
574075, 3, 1, 1, 2, €14, €5 / night after the first guest, 
581700, 6, 1, 1, 6, , No Charge, €260 / night
586264, 2, 1, Studio, 1, , No Charge, 
586187, 5, 1, 1, 3, , €25 / night after 2 guests, 
593050, 6, 2, 4, 6, , , €250 / night
595204, 1, 1, 1, 1, , , 
605320, 4, , 1, 1, , No Charge, 
611240, 4, 2, 2, 1, , €20 / night after the first guest, 
610560, 2, 1, 1, 1, €5, No Charge, €40 / night
612062, 2, 1, 1, 1, , No Charge, 
617929, 2, 1, 1, 1, , No Charge, 
620438, 4, 1, 1, 2, , €15 / night after 2 guests, €73 / night
627401, 2, , 1, 1, , No Charge, 
636529, 7, 2, 2, 7, €25, No Charge, 
640501, No longer available,,,,,, 
640476, No longer available,,,,,, 
640483, No longer available,,,,,, 
651283, 2, 1, 1, 1, , No Charge, 
656560, 5, 1, 2, 3, €15, €10 / night after 4 guests, €50 / night
658288, 4, 1, 1, 1, , No Charge, €65 / night
666547, 5, 2, 3, 4, , No Charge, 
667438, 2, 1, 3, 2, , €25 / night after the first guest, 
669067, 2, 1, 1, 2, , No Charge, €70 / night
680819, No longer available,,,,,, 
686964, 4, 1, 1, 4, , No Charge, €190 / night
685253, 2, 1.5, 1, 1, , €5 / night after the first guest, 
693343, 2, 1, 1, 1, , No Charge, 
690683, 2, 2, 1, 2, , , 
693048, 1, 2, 1, 1, , , 
694974, 1, 1, 1, 8, , , €20 / night
694886, 8, 1, 2, 8, , , €209 / night
702128, No longer available,,,,,, 
701182, 4, 1, 1, 1, , €12 / night after 2 guests, 
706906, 3, 1, 1, 3, , No Charge, 
714367, 4, 1, 1, 3, , No Charge, €75 / night
721676, 8, 1, 3, 5, , €25 / night after 2 guests, 
721146, 2, 1, 1, 1, , , €100 / night
726540, 4, 1, 1, 1, , €15 / night after 2 guests, 
727385, No longer available,,,,,, 
731689, 7, 2, 3, 5, , €12 / night after 2 guests, €49 / night
737200, 7, 2, 4, 5, , €18 / night after 5 guests, €95 / night
735784, 5, 1, 3, 3, €20, €25 / night after 2 guests, 
736850, 6, 2, 2, 3, , €5 / night after 4 guests, €73 / night
735547, 4, 2, 2, 2, €30, No Charge, €55 / night
743763, 3, 1, 1, 2, €25, €25 / night after the first guest, 
750232, 2, 1, 1, 1, €30, No Charge, 
754569, 6, , 2, 6, , €15 / night after 2 guests, €118 / night
757464, 12, 2, 1, 12, , €17 / night after the first guest, 
759786, 1, 1, 1, 1, , , 
758531, 6, 2, 3, 6, , , 
759772, 2, 1, 1, 1, , €10 / night after the first guest, 
759733, 2, , 1, , , , €120 / night
772586, 2, 1, 1, 1, , , 
782544, 4, 1, 1, 2, €30, No Charge, 
788880, 4, 1, 1, 4, €20, €25 / night after 2 guests, €95 / night
788861, 4, 1, 1, 4, €20, €25 / night after 2 guests, €95 / night
788843, 4, 1, 1, 3, €20, €25 / night after 2 guests, €125 / night
788870, 4, 1, 1, 4, €20, €25 / night after 2 guests, €125 / night
788889, 3, 1, 1, 3, €20, €25 / night after 2 guests, €95 / night
788850, 4, 1, 1, 4, €20, €25 / night after 2 guests, €95 / night
790247, 4, 1, 1, 4, €20, €25 / night after 2 guests, €95 / night
797953, 4, 1, 2, 3, €20, No Charge, 
799168, 2, 1, 1, 1, , €12 / night after the first guest, 
806018, 4, 1, 1, 2, , €12 / night after 2 guests, €100 / night
805135, 4, 1, 1, 4, €30, €10 / night after 2 guests, 
805084, 2, 1, Studio, 1, €30, , 
812458, 3, 1, 2, 2, , No Charge, 
811846, 6, 1, 3, 6, €30, €10 / night after 4 guests, 
821478, No longer available,,,,,, 
821522, No longer available,,,,,, 
821531, No longer available,,,,,, 
829709, 3, 1, 1, 2, , €10 / night after 2 guests, €45 / night
835483, 2, 1, 1, 1, , No Charge, €32 / night
840163, 13, 2, 4, 8, , €20 / night after 4 guests, 
847692, 8, 1, 2, 5, , €15 / night after 4 guests, 
865436, 7, 2, 3, 7, €50, €15 / night after 4 guests, €90 / night
866408, 8, 2, 4, 6, , No Charge, 
869937, 3, 2, 1, 3, , €15 / night after 2 guests, 
870392, 2, 1, 1, 1, €20, No Charge, €45 / night
870458, 3, 1, Studio, 2, €25, €12 / night after 2 guests, €60 / night
876806, 2, 1, 1, 2, , No Charge, 
878899, 2, 1, 1, 1, €25, , 
886960, 4, 2, 2, 2, €36, €22 / night after 2 guests, €73 / night
895072, 3, 1, 1, 2, , €5 / night after 2 guests, 
898299, 3, 1, Studio, 3, , €10 / night after 2 guests, €60 / night
909412, 2, 1, 1, 1, , No Charge, 
923173, 4, 2, 2, 4, €5, €20 / night after 2 guests, €60 / night
935968, 8, 2, 3, 6, €20, €15 / night after 2 guests, €60 / night
939236, 4, 1, 1, 3, , €12 / night after 2 guests, €46 / night
942079, 4, 1, 1, 1, €5, €20 / night after 2 guests, €90 / night
942677, 4, 1, 1, 1, , €5 / night after 2 guests, 
945238, 8, 1, 1, 3, €20, €11 / night after 2 guests, €44 / night
947091, 4, 1, 3, 9, €8, €11 / night after the first guest, €16 / night
963739, 3, 1, Studio, 3, , €10 / night after 2 guests, €55 / night
965876, No longer available,,,,,, 
973260, 2, 1, 1, 1, €20, No Charge, 
977067, 2, 1, 1, 1, , No Charge, 
999854, 6, 2, 3, 6, €25, €15 / night after 4 guests, €75 / night
997710, 2, 1, 1, 2, , €10 / night after the first guest, 
1000819, 6, 1, 3, 4, , No Charge, 
1002465, No longer available,,,,,, 
1011627, 5, 1, 2, 3, €25, €15 / night after 3 guests, 
1014239, 5, 2, 2, 5, , €10 / night after 2 guests, 
1024010, 2, 1, 1, 2, €15, €12 / night after the first guest, 
1039127, 2, 1, 1, 2, €8, , €22 / night
1046979, 3, 1, 1, 1, €40, €5 / night after 2 guests, 
1047292, 2, 1, 1, 1, , No Charge, 
1054752, 6, 1, 3, 6, €30, €10 / night after 2 guests, 
1068828, 4, 2, 2, 3, , €18 / night after 2 guests, €64 / night
1086415, 4, 2, 1, 2, €15, €19 / night after the first guest, €49 / night
1110048, 5, 2, 2, 5, €30, €15 / night after 4 guests, €100 / night
1117442, 2, 1, 1, 2, , €10 / night after the first guest, 
1120497, 1, , 1, , , , 
1135943, No longer available,,,,,, 
1138021, 3, 1, 1, 2, €9, €20 / night after the first guest, €35 / night
1143064, No longer available,,,,,, 
1140507, 5, 1, 1, 3, , €20 / night after 2 guests, €64 / night
1166353, 4, 2, 1, 1, , €15 / night after 2 guests, €94 / night
1169420, 4, 1, 2, 2, €40, No Charge, 
1179715, 6, 2, 2, 4, , €10 / night after 2 guests, 
1177184, 1, 1, 1, 1, , , 
1184444, 4, 1, 2, 3, €8, No Charge, 
1193022, No longer available,,,,,, 
1190308, 12, 3, 3, 8, €50, No Charge, €250 / night
1195880, 6, 1, , 2, , €25 / night after the first guest, €55 / night
1196736, No longer available,,,,,, 
1200602, 2, 1, 1, 1, , €17 / night after the first guest, 
1206348, 2, 1, 1, 1, €35, No Charge, 
1206891, 5, 1, 3, 3, €30, No Charge, 
1212424, 2, 1, 1, 1, , , €75 / night
1218819, 5, 1, 1, 5, €17, €17 / night after the first guest, 
1226987, 4, 1, 2, 3, €35, No Charge, 
1226979, 1, 1, 1, 1, , , 
1232705, 1, 1, 1, 1, €12, , 
1234283, 2, 1, 1, 1, , , €55 / night
1231703, 6, 1, 2, 2, €15, €10 / night after 2 guests, 
1232115, 2, 1, 1, 1, , €5 / night after the first guest, €29 / night
1239126, 4, 1, 1, 2, €15, €10 / night after 2 guests, 
1236380, 3, 1, 1, 3, €17, €15 / night after the first guest, €18 / night
1238570, 13, 5, 5, 10, €80, €25 / night after 10 guests, €350 / night
1255247, 6, 2, 2, 2, €20, €10 / night after 2 guests, 
1277675, 7, 1, 2, 4, , €10 / night after 2 guests, €60 / night
1281971, 4, 1.5, 3, 3, €20, €15 / night after the first guest, 
1289814, 2, 1, 1, 1, €5, €15 / night after the first guest, €37 / night
1288077, 2, 1, 1, 1, €30, No Charge, 
1293808, 3, 1, 1, 3, , €20 / night after 2 guests, €65 / night
1295141, 5, 1, 2, 4, , €20 / night after 3 guests, 
1303572, 6, 2, 4, 4, , No Charge, 
1310900, 5, 1, 1, 5, €17, €16 / night after the first guest, 
1312897, 2, 1, 1, 1, , , 
